НАЗВАНИЕ ГОРОДОВ,Домов: Казенных к.,Домов: Казенных д.,Домов: Частных к.,Домов: Частных д.,Торговых лавок к.,Торговых лавок д.,ДРУГИХ ЗДАНИЙ
,,,,,,,"Больница деревянная – 1
Кузниц деревянных – 4
Питейных домов деревянных – 2
Итого
каменных – 5
деревянных – 29
Всего – 34"
В Минусинске,1,4,1,602,1,94,"Церквей православных каменных – 1
Кладовая окружного казначейства каменная – 1
Богадельня каменная – 1
Заводов кирпичных деревянных – 4
Мельниц водяных – 1
Магазинов
провиантский – 1
соляных – 5
хлебный – 1
винных – 6
Соляная лавочка деревянная – 1
Гостиный двор деревянный – 1
Училище деревянное – 1
Острога деревянные – 2
Пороховой погреб каменный – 1
Больница деревянная – 1
Военная сборная деревянная – 1
Кузниц деревянных – 5
Будка деревянная – 1
Питейных домов деревянных – 3
Итого
каменных – 3
деревянных – 46
Всего – 49"
В Туруханске,–,2,–,57,–,6,"Церквей православных каменных – 1
Деревянная – 1
Походная из полотна – 1
Провиантских – 2
Хлебный – 1
Соляной – 1
Винный подвал деревянный – 1
Пороховой погреб деревянный – 1
Питейный дом деревянный – 1"
