Название ярмарок,Где и когда бывает ярмарка,На какую сумму было привезено товаров,На какую сумму продано
9. Михайловская,"Чернореченской волости в с. Чернореченском 3 ноября",Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
10. Ильинская,В с. Новоселовском 26 июля,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
11. Преображенская,В с. Бирилюском 6 августа,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
Канском,,,
12. Михайловская,"Рыбинской волости в с. Рыбинском с 8 ноября по 8 декабря",3275 р.,2009 р.
13. Петропавловская,"Уринской волости в с. Амонашевском с 20 июня по 6 июля",4500 р.,720 р.
14. Покровская,"Тасеевской волости в с. Тасевском с 1 по 15 октября",1890 р.,380 р.
15. Никольская,В с. Тасеевском с 6 по 15 декабря,2700 р.,600 р.
16. Богоявленская,Там же с 1 по 15 января,2980 р.,690 р.
17. Благовещенская,"В Троицком солеваренном заводе с 13 марта по 1 апреля",Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
18. Петровская,Там же с 15 сентября по 1 октября,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
Красноярском,,,
19. Нахвальская,В с. Нахвальском 8 июля,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
