За чем остаются нерешенными
"За неполучением от Енисейского окружного начальника необходимых сведений, затребованных от 19 августа 1863 г. за № 3547, о скорейшем доставлении которых ему вновь подтверждено 12 сентября, 15 октября и 31 декабря того же года за № 3878, 4650 и 5296."
"За изъявлением неудовольствия на решение Енисейского губернского суда обвиняемыми по этому делу лицами."
"За изъявлением Кольцовым Михайлом неудовольствия на решение Енисейского губернского суда."
