ЗА ЧЕМ ОСТАЮТСЯ НЕРЕШЕННЫМИ
За недостижением наследниками совершеннолетия
"Опека учреждена по неразделу имения полюбовно и дело находится в (***) рассмотрении Енисейского губернского суда."
За недостижением наследниками совершеннолетия
