№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
151,153,1859 3 февраля,"33/59 Об устройстве сарая, амбара и навеса при Ачинской полицейской управе, а также нар и столика в арестантских покоях и полов в архиве."
152,154,27 мая,"134/59 Об испрошении разрешения на сбор денег в доход города за землю, занимаемую лавками гостиного двора в г. Красноярске."
153,154,7 августа,"246/59 О хлебной недоимке, числящейся на поселенце Василии Селезневе по Туруханскому краю."
