НАЗВАНИЕ ГОРОДОВ,Остаток от прошедших годов,Приход за 1863 год,Расход за 1863 год,Остаток и расход против годового дохода,Остаток всего в 1864 г.
В Красноярске,27450-33¼,10483-70,10317-17½,+166-52¾,27616-80
– Енисейске,111514-81,17872-30,18763-86,–891-56¼,110623-29
– Ачинске,21059-4,8460-61½,5810-87¼,+2649¾,23701-67¾
– Канске,11899-87½,6606-58½,3628-36½,+2978-22,14678-9½
– Минусинске,18133-91½,6291-84¾,2619-54,+4072-27¼,22906-1¾
Итого,190050-97¼,50115-2¾,41139-92¼,+8975-10,199026-7¾
