Название ярмарок,Где и когда бывает ярмарка,На какую сумму было привезено товаров,На какую сумму продано
В городах ярмарок не существует,,,
В округах,,,
Ачинском,,,
1. Никольская,"Балахтинской волости в с. Балахтинском с 6 по 9 декабря",30405 р.,4024 р.
2. Рождественская,"Назаровской волости в с. Подсосенском с 25 по 28 декабря",Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
3. Васильевская,В с. Изынжульском с 1 по 4 января,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж in 1863 г. не было
4. Никольская,В с. Изынжульском с 9 по 12 мая,Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
5. Троицкая,"В с. Назаровском в Праздник Св. Троицы в течение 3 дней",Съезда торговцев и продаж в 1863 г. не было,Съезда торговцев и продаж в 1863 г. не было
6. Петропавловская,"Ужурской волости В с. Ужурском с 29 июня по 1 июля",50040 р.,6250 р.
7. Богоявленская,В селе Шарыповском с 6 по 9 января,1500 р.,300 р.
8. Троицкая,"В с. Салгонском в праздник Св. Троицы 3 дня",1300 р.,250 р.
