Звание городов и селений, где находятся фабрики и заводы,Какие фабрики и заводы и сколько,На какую сумму выделывается товару,Куда сбыт производится
Близ д. Язенама,Винокуренный – 1,207200 р.,По всей Енисейской губернии
Назаровской волости,Кожевенных – 2,1750 р.,
,Кирпичных – 7,315 р.,
,Гончарных – 3,125 р.,
Черноречинской волости в 4 верстах от г. Ачинска по р. Салырке,Бумажная – 1 Наследников купца Радионова,Работы не производятся по случаю повреждения на фабрике,
В г. Канске,Кожевенный – 1,4200 р.,"В г. Енисейске, окрестных селениях и в Туруханском крае"
,Свечной – 1,2800 р.,
,Мыловаренный – 1,1025 р.,
В округе оного Рыбинской волости близ д. Баргинской,Железоделательный – 1,864 р.,В Енисейской
Уринской волости в 7 верстах от д. Бражной,Винокуренный – 1,109600 р.,В Енисейской
Анцырской волости по р. Пойме,Железоделательный – 1,207200 р.,Работы не производятся
Тасеевской волости при устье р. Весниной,Винокуренный—1,56047 р.,(***)
В селе Троицком,Каменный солеваренный – 1,42974 р.,(***)
При оном молотовая фабрика для выплавки руды и выделки железа,Железоделательный –1,1455 р. и 96 1/2 к.,
В Минусинске,Кожевенных – 3,600 р.,По Енисейской губернии
,Свечных – 2,3000 р.,
,Кирпичных – 4,1100 р.,
"В Округе оного Новоселовской волости, в д. Медведевой по р. Семеновой",,,Внутри округа
в с. Сонском,Винокуренный – 1,37000 р.,
Норинском,Кожевенных – 2,350 р.,
,Кирпичный – 1,225 р.,
