№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
110,101,1841 17 февраля,"III Отделения 1-го стола 25/41 О недостатке хлеба по Ярцовскому магазину."
111,102,1843 8 марта,"17/43 О ревизии отчетности хлебного запасного капитала с 1840 по 1848 г. как Енисейскою казенною палатою, так и учрежденною Комиссией для приведения в порядок дел по этому капиталу, равно и об отошедших от инородцев землях под золотые промысла и о прочем."
