№ п/п,№ ведомости прошедшего года,Время поступления,СОДЕРЖАНИЕ ДЕЛ
164,159,1856 18 июня,"61/56 О взыскании с членов Красноярского окружного суда денег, растраченных с 1845 по 1849 г."
165,161,1859 26 февраля,"28/59 О взыскании с чиновников за пожалованные им чины денег в пользу казны и сенатской типографии."
166,"""",1860 1 апреля,"56/60 О взыскании с чиновников пошлинных денег за пожалованные чины."
