Наименование,Осталось неисполненных к 1 января 1863 г.,Требующих производства,Подлежащих к приобщению к делу или к сведению,ИТОГО,Из сего числа исполнено по 1 января 1864 г.,За тем к 1 января 1864 г. осталось неисполненных,Исполнить нумеров с 1 января 1863 по 1 января 1864 г.
В Общем губернском управлении,10,13405,2199,13415,13401,14,18720
– Губернском правлении,23,16747,2263,16775,16760,15,37856
– Казенной палате,635,13211,5965,13896,13114,782,13712
– Губернском суде,62,2388,2000,2450,2425,25,5212
– Приказе общественного призрения,13,2463,921,2476,2473,3,3324
– Врачебной управе,15,1277,676,1292,1271,21,1875
У губернского прокурора,“ ,997,593,997,996,1,1602
У ОКРУЖНЫХ СТРЯПЧИХ:,,,,,,,
Красноярского,“ ,1276,341,1276,1276,“ ,2266
Енисейского,“ ,2573,362,2573,2573,“ ,3521
Канского,5,700,75,705,705,“ ,1036
Минусинского,4,1225,272,1229,1223,6,1295
Ачинского,2,1117,260,1119,1116,3,2013
Губернского и окружных землемеров,39,600,838,639,626,13,1689
В ОБЩИХ ОКРУЖНЫХ УПРАВЛЕНИЯХ:,,,,,,,
Енисейском,24,1495,240,1519,1502,17,1678
Минусинском,25,2008,170,2033,2015,18,2473
