ЗА ЧЕМ ОСТАЮТСЯ НЕРЕШЕННЫМИ
За недостижением наследниками совершеннолетия
"Опека учреждена по глухонемоте наследницы Терентьева Ефросиньи, согласно указу Правительствующего сената г. начальнику Енисейской губернии от 31 октября 1857 г. за № 5717."
За недостижением наследниками совершеннолетия
