Звание округов,Название различного рода хлеба,Справочные цены за четверть зимние,Справочные цены за четверть весенние,Справочные цены за четверть летние,Справочные цены за четверть осенние,Торговые цены за четверть зимние,Торговые цены за четверть весенние,Торговые цены за четверть летние,Торговые цены за четверть осенние
В Красноярском округе,Рожь,2 р. 50 к.,2 р. 70 к.,2 р. 80 к.,2 р. 70 к.,2 р. 56 к.,2 р. 56 к.,2 р. 80 к.,2 р. 80 к.
,Ярица,2-44,2-50,2-60,2-60,2-64,2-55,2-60,260
,Пшеница,4-50,4-50,4-60,4-60,4-50,4-58,4-60,4-60
,Ячмень,2-36,2-55,2-61,2-60,2-35,2-52,2-66,2-62
,Овес,1-74,2-88,2-2,2-2,2-2,1-88,2-2,2-2
,Гречуха,3-56,3-56,3-56,3-56,3-96,3-96,3-96,3-96
,Муки ржаной,2-72,2-96,3-10,3-2,2-83,2-60,2-95,2-90
,,пшеничной,4-97,4-88,4-90,4-90,4-95,4-88,4-90,4-90
,Круп гречневых,4-80,4-80,4-80,4-80,4-90,4-90,4-90,4-90
,,овсяных,4-80,4-80,4-80,4-80,5-30,5-30,5-30,5-30
В Енисейском округе,Рожь,3-10,2-6,2-6,2-6,Торговые цены те же самые,,,
,Ярица,5-10,2-63,2-63,2-64,,,,
,Пшеница,4-56,4-52,*,4-44,,,,
,Ячмень,3-20,3-90,*,3-4,,,,
,Овес,3-10,1-90,1-90,1-90,,,,
,Картофель,1-40,1-40,*,2-27,,,,
,Мука ржаная,2-12,2-7,2-75,2-65,,,,
,,пшеничная,4-73,4-42,4-20,4-20,,,,
,Крупа ячменная,6-64,6,6,6-26,,,,
