За чем остаются нерешенными
"в третий раз вышло с представлением к г. начальнику Енисейской губернии 11 января 1868 г. за № 95."
"Дело это остается нерешенным за невычетом из жалованья чиновника Антоновича следующего с него взыскания 155 руб. 20 коп. остальных 37 руб. 97½ коп. и за невзысканием с чиновника Фон Эзерского 310 руб. 40 коп. по случаю препятствий, встреченных при продаже описанного у него недвижимого имущества, о чем подробно объяснено в ведомости, представленной г. начальнику губернии за 1866 г., о скорейшем взыскании с Антоновича денег предписано бывшему Канскому земскому суду 19 и 30 декабря пр. 1867 г. за №№ 5262 и 5347 и Канскому окружному полицейскому управлению 16 января за № 144."
"Опека учреждена по глухонемоте наследницы Терентьева Ефросиньи согласно указу Правительствующего сената г. енисейскому губернатору от 30 октября 1857 г. за № 5717."
"За недостижением наследниками совершеннолетия."
