В каких местах,Осталось неисполненных к 1 января 1867 г.,"К тому по 1 января 1868 г. поступило: Требующих производства","К тому по 1 января 1868 г. поступило: Подлежащих к приобщению к делу или к сведению",ИТОГО,Из сего числа исполнено по 1 января 1868 г.,Затем к 1 января 1868 г. осталось неисполненных,Исшедших нумеров с 1 января 1867 по 1 января 1868 г.
Общем губернском управлении,17,17793,3128,17810,17782,28,21692
– Губернском правлении,-,21304,3696,21304,21293,11,39287
– Казенной палате,1013,14206,4206,15219,14839,380,19317
– Губернском суде,58,2439,1539,2497,2446,51,5460
– Приказе общественного призрения,3,2084,457,2087,2082,5,2798
– Врачебной управе,11,1791,411,1802,1787,15,2620
У губернского прокурора,16,2450,1386,2466,2460,6,3354
У ОКРУЖНЫХ СТРЯПЧИХ:,,,,,,,
Красноярского,-,2343,1343,2343,2343,-,3116
Енисейского,6,1658,696,1664,1659,5,2292
Канского,-,2341,350,2341,2341,-,2891
Минусинского,8,1451,180,1459,1445,14,1135
Ачинского,8,1635,735,1643,1643,-,2395
Губернского и окружных землемеров,14,495,490,509,506,3,1594
В ОБЩИХ ОКРУЖНЫХ УПРАВЛЕНИЯХ:,,,,,,,
Енисейском,2,1269,171,1271,1268,3,1287
Минусинском,18,1260,431,1278,1273,5,1389
В ГРАДСКИХ ПОЛИЦИЯХ И У ГОРОДНИЧИХ:,,,,,,,
Красноярской,504,14857,1985,15361,15186,175,15186
Енисейской,40,12860,405,12900,12799,101,12864
Канской,65,4735,76,4800,4640,160,4735
