Учреждение,К 1 января 1867 г. оставалось руб.,К 1 января 1867 г. оставалось коп.,В 1867 г. поступило казенных руб.,В 1867 г. поступило казенных коп.
По Губернскому комитету,3210,53¼,63756,70¼
4-м мужским отделениям,1602,19,30831,73
