Учреждение,Число заведений,Число учащихся муж.,Число учащихся жен.
"д) Частная: Женская школа в г. Канске, содержимая на счет добровольных пожертвований",1,1,15
"Воспитательное заведение: Владимирский детский приют в г. Красноярске",1,15,62
Итого,145,2495,325
