Учреждение,Число заведений,Число учащихся муж.,Число учащихся жен.
"а) Гражданские училища: В городах: Уездных",3,295,-
"а) Гражданские училища: В городах: Приходских",6,351,-
"а) Гражданские училища: В округах: Сельских, приходских, в селениях государственных крестьян",110,1185,153
"Женское училище 2-го разряда в г. Енисейске",1,-,33
"Народная школа грамотности в г. Красноярске 1-я",1,50,28
"Народная школа грамотности в г. Красноярске 2-я",1,30,8
"б) Духовные: Уездное в Красноярске",1,138,-
