Поступило частных благотворительных и экономических руб.,Поступило частных благотворительных и экономических коп.,ИТОГО с остаточными руб.,ИТОГО с остаточными коп.,Израсходовано казенных руб.,Израсходовано казенных коп.,Израсходовано частных благотворительных и экономических руб.,Израсходовано частных благотворительных и экономических коп.,Израсходовано ИТОГО руб.,Израсходовано ИТОГО коп.,К 1 января 1868 г. осталось руб.,К 1 января 1868 г. осталось коп.
23645,26¾,90612,50¼,63219,22,16247,18¾,79466,40¾,11146,9½
3941,72¾,36375,64¼,30748,26,3492,43¾,34240,69¾,2134,95¼
